ResNet_VDLF_Mean_Diff,EPOCHS,BATCH_SIZE,VGG16_Accuracy,VGG16_Precision,VGG16_Recall,VGG16_F1,ResNet_Accuracy,ResNet_Precision,ResNet_Recall,ResNet_F1,VDLF_Accuracy,VDLF_Precision,VDLF_Recall,VDLF_F1
0.2895,360,128,48.0000,48.6280,48.0000,47.7656,58.3800,58.6345,58.3800,58.2826,58.7200,58.8796,58.7200,58.5154
0.5655,380,128,47.7400,48.6871,47.7400,47.4510,58.4400,58.7271,58.4400,58.3160,59.0600,59.1777,59.0600,58.8875
0.1830,400,128,48.2200,48.6723,48.2200,47.8967,58.6900,59.1105,58.6900,58.6487,58.9900,59.0825,58.9900,58.8086
-0.1612,20,256,24.2000,26.2799,24.2000,22.3184,41.7800,42.8238,41.7800,40.6034,41.9000,41.7842,41.9000,40.7582
-0.2560,40,256,30.8900,31.5797,30.8900,29.0759,50.6000,52.0485,50.6000,50.0739,50.4400,51.3502,50.4400,50.0684
0.8627,60,256,34.8500,36.9474,34.8500,33.9910,53.4100,55.6458,53.4100,53.4565,54.7000,55.4905,54.7000,54.4826
-0.3254,80,256,36.3600,37.9225,36.3600,35.2176,55.2100,56.0462,55.2100,54.9398,54.8700,55.7584,54.8700,54.6062
0.3487,100,256,39.5700,41.2448,39.5700,38.7784,54.8300,55.6884,54.8300,54.5798,55.2600,55.7664,55.2600,55.0364
0.5184,120,256,42.0100,42.4169,42.0100,40.8362,55.4600,56.4777,55.4600,55.3276,55.9700,56.8994,55.9700,55.9593
-0.0554,140,256,43.5600,44.5718,43.5600,42.8267,56.0100,56.8674,56.0100,56.0031,56.1000,56.5576,56.1000,55.9112
1.1228,160,256,44.1000,46.8653,44.1000,43.8759,55.5200,56.0503,55.5200,55.2914,56.6100,57.1224,56.6100,56.5302
